ratingID,userID,placeID,rating,food_rating,service_rating,comments
0,1001,135040,3,3,3,"I mean really, how do you get so famous for your fish and chips when it's so terrible!?!"
1,1001,135033,3,3,3,It's too bad the food is so damn generic.
2,1001,135045,3,3,3,We are so glad we found this place.
3,1001,135025,4,4,4,I'll take my business dinner dollars elsewhere.
4,1001,135051,3,3,4,It also took her forever to bring us the check when we asked for it.
5,1001,135085,2,3,3,"Not to mention the combination of pears, almonds and bacon is a big winner!"
6,1001,135039,3,3,3,It was pretty gross!
7,1001,132825,4,4,3,"In summary, this was a largely disappointing dining experience."
8,1002,135085,3,3,3,Great brunch spot.
9,1002,135052,3,3,3,"Our server was very nice, and even though he looked a little overwhelmed with all of our needs, he stayed professional and friendly until the end."
10,1002,135059,3,4,3,We walked away stuffed and happy about our first Vegas buffet experience.
11,1002,135041,4,3,2,By this time our side of the restaurant was almost empty so there was no excuse.
12,1002,132862,4,4,4,Their steaks are 100% recommended!
13,1002,135106,3,3,3,What happened next was pretty....off putting.
14,1002,135062,3,4,3,"Our waiter was very attentive, friendly, and informative."
15,1002,132825,4,4,2,We made the drive all the way from North Scottsdale... and I was not one bit disappointed!
16,1003,132862,3,4,4,This is the place where I first had pho and it was amazing!!
17,1003,135079,4,4,4,"This place is a jewel in Las Vegas, and exactly what I've been hoping to find in nearly ten years living here."
18,1003,135041,2,3,3,Service is also cute.
19,1003,135059,4,4,4,I promise they won't disappoint.
20,1003,135080,4,3,4,We'll never go again.
21,1003,135064,2,2,2,TOTAL WASTE OF TIME.
22,1003,132755,4,4,3,It was delicious!!!
23,1003,135075,4,4,4,All I have to say is the food was amazing!!!
24,1003,132754,4,4,4,Ordered burger rare came in we'll done.
25,1003,132825,4,4,3,"like the other reviewer said ""you couldn't pay me to eat at this place again."""
26,1003,132937,4,4,3,"The food was delicious, our bartender was attentive and personable AND we got a great deal!"
27,1004,135028,4,4,4,The bathrooms are clean and the place itself is well decorated.
28,1004,135062,4,4,3,I won't try going back there even if it's empty.
29,1004,135032,4,4,4,"Not much flavor to them, and very poorly constructed."
30,1004,135106,4,4,4,We aren't ones to make a scene at restaurants but I just don't get it...definitely lost the love after this one!
31,1004,135060,3,3,3,"One nice thing was that they added gratuity on the bill since our party was larger than 6 or 8, and they didn't expect more tip than that."
32,1004,132955,4,4,4,Nargile - I think you are great.
33,1004,132958,4,4,4,The Buffet at Bellagio was far from what I anticipated.
34,1004,132954,4,4,4,I've had better bagels from the grocery store.
35,1005,135032,4,3,4,I swung in to give them a try but was deeply disappointed.
36,1005,135076,4,4,3,Pretty good beer selection too.
37,1005,135042,4,3,4,Great Pizza and Salads!
38,1005,135057,3,4,3,The manager was the worst.
39,1005,135041,3,3,3,We've have gotten a much better service from the pizza place next door than the services we received from this restaurant.
40,1005,135066,4,3,3,Food arrived quickly!
41,1005,135050,3,4,3,Have been going since 2007 and every meal has been awesome!!
42,1005,135043,2,4,2,Which are small and not worth the price.
43,1006,135030,3,3,4,"The staff are great, the ambiance is great."
44,1006,135079,3,3,3,Spend your money elsewhere.
45,1006,135026,4,4,4,I came back today since they relocated and still not impressed.
46,1006,135075,3,3,4,"At least 40min passed in between us ordering and the food arriving, and it wasn't that busy."
47,1006,135048,3,3,4,Food was really good and I got full petty fast.
48,1006,132825,3,3,3,By far the BEST cheesecurds we have ever had!
49,1006,132954,3,3,3,The selection on the menu was great and so were the prices.
50,1007,135085,3,4,2,I dont think I will be back for a very long time.
51,1007,135032,3,3,2,"To my disbelief, each dish qualified as the worst version of these foods I have ever tasted."
52,1007,135038,3,3,2,Cooked to perfection and the service was impeccable.
53,1007,135086,2,2,2,This is a great restaurant at the Mandalay Bay.
54,1007,135025,3,3,3,"I started this review with two stars, but I'm editing it to give it only one."
55,1007,135057,3,3,4,Service was excellent and prices are pretty reasonable considering this is Vegas and located inside the Crystals shopping mall by Aria.
56,1007,135108,3,3,3,"Anyways, The food was definitely not filling at all, and for the price you pay you should expect more."
57,1007,135058,3,4,3,The steak was amazing...rge fillet relleno was the best seafood plate i have ever had!
58,1008,132866,3,3,3,I've never been more insulted or felt disrespected.
59,1008,132858,3,4,3,That's right....the red velvet cake.....ohhh this stuff is so good.
60,1008,132869,3,3,3,There is not a deal good enough that would drag me into that establishment again.
61,1008,135054,3,3,3,"Now the burgers aren't as good, the pizza which used to be amazing is doughy and flavorless."
62,1008,132854,4,4,3,Wow very spicy but delicious.
63,1008,135069,3,3,3,The chips and sals a here is amazing!!!!!!!!!!!!!!!!!!!
64,1008,135108,3,3,2,We waited an hour for what was a breakfast I could have done 100 times better at home.
65,1008,132846,3,3,3,The owners are super friendly and the staff is courteous.
66,1009,132862,4,3,4,An extensive menu provides lots of options for breakfast.
67,1009,135079,3,4,4,"seems like a good quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere."
