placeID,alcohol,smoking_area,dress_code,accessibility,price,Rambience,franchise,area,cuisines
132732,No_Alcohol_Served,none,casual,completely,low,familiar,f,open,Mexican
132706,No_Alcohol_Served,not permitted,informal,no_accessibility,medium,familiar,t,closed,Mexican
135088,No_Alcohol_Served,not permitted,informal,no_accessibility,low,quiet,f,closed,Cafeteria
134986,Wine-Beer,none,formal,no_accessibility,high,familiar,f,closed,International
134999,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,f,closed,Japanese
132583,No_Alcohol_Served,not permitted,informal,partially,low,familiar,t,closed,American
132766,Wine-Beer,none,informal,no_accessibility,medium,familiar,f,closed,Japanese
135021,No_Alcohol_Served,not permitted,informal,no_accessibility,low,familiar,t,closed,Fast Food
134983,Full_Bar,section,informal,no_accessibility,high,familiar,f,closed,"Bar, Bar Pub Brewery"
135018,Full_Bar,permitted,informal,completely,medium,familiar,f,open,Mexican
132773,Wine-Beer,permitted,informal,no_accessibility,low,familiar,f,open,"Family, Mexican"
132767,Wine-Beer,permitted,casual,partially,medium,familiar,f,open,Vietnamese
135019,No_Alcohol_Served,none,informal,completely,low,familiar,f,closed,Bar
135039,No_Alcohol_Served,section,informal,no_accessibility,low,familiar,f,closed,Seafood
135032,Wine-Beer,section,informal,no_accessibility,medium,familiar,f,closed,"Cafeteria, Contemporary"
135069,Wine-Beer,none,informal,no_accessibility,low,familiar,f,closed,Bar
135042,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,f,closed,Chinese
135048,Wine-Beer,none,informal,no_accessibility,high,familiar,f,closed,Bar
135026,Full_Bar,none,informal,no_accessibility,high,familiar,f,closed,"Bar, Bar Pub Brewery"
135034,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,f,closed,Japanese
132866,No_Alcohol_Served,not permitted,informal,completely,medium,familiar,f,closed,"Bakery, Cafeteria"
132858,No_Alcohol_Served,none,informal,completely,low,familiar,f,closed,Burgers
132869,No_Alcohol_Served,not permitted,informal,no_accessibility,medium,familiar,f,closed,Pizzeria
135054,No_Alcohol_Served,none,informal,no_accessibility,high,familiar,f,closed,Seafood
132854,Wine-Beer,none,informal,completely,medium,familiar,f,closed,International
135052,Full_Bar,none,informal,no_accessibility,high,familiar,f,closed,"Bar, Bar Pub Brewery"
135057,Wine-Beer,section,informal,no_accessibility,medium,familiar,f,closed,Bar
135060,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,f,closed,Seafood
135071,Full_Bar,section,informal,no_accessibility,medium,familiar,f,closed,"Bar, Bar Pub Brewery"
